,word,score
20689,abandon,-2.0
20690,abandoned,-2.0
20691,abandons,-2.0
20692,abducted,-2.0
20693,abduction,-2.0
20694,abductions,-2.0
20695,abhor,-3.0
20696,abhorred,-3.0
20697,abhorrent,-3.0
20698,abhors,-3.0
20699,abilities,2.0
20700,ability,2.0
20701,aboard,1.0
20702,absentee,-1.0
20703,absentees,-1.0
20704,absolve,2.0
20705,absolved,2.0
20706,absolves,2.0
20707,absolving,2.0
20708,absorbed,1.0
20709,abuse,-3.0
20710,abused,-3.0
20711,abuses,-3.0
20712,abusive,-3.0
20713,accept,1.0
20714,accepted,1.0
20715,accepting,1.0
20716,accepts,1.0
20717,accident,-2.0
20718,accidental,-2.0
20719,accidentally,-2.0
20720,accidents,-2.0
20721,accomplish,2.0
20722,accomplished,2.0
20723,accomplishes,2.0
20724,accusation,-2.0
20725,accusations,-2.0
20726,accuse,-2.0
20727,accused,-2.0
20728,accuses,-2.0
20729,accusing,-2.0
20730,ache,-2.0
20731,achievable,1.0
20732,aching,-2.0
20733,acquit,2.0
20734,acquits,2.0
20735,acquitted,2.0
20736,acquitting,2.0
20737,acrimonious,-3.0
20738,active,1.0
20739,adequate,1.0
20740,admire,3.0
20741,admired,3.0
20742,admires,3.0
20743,admiring,3.0
20744,admit,-1.0
20745,admits,-1.0
20746,admitted,-1.0
20747,admonish,-2.0
20748,admonished,-2.0
20749,adopt,1.0
20750,adopts,1.0
20751,adorable,3.0
20752,adore,3.0
20753,adored,3.0
20754,adores,3.0
20755,advanced,1.0
20756,advantage,2.0
20757,advantages,2.0
20758,adventure,2.0
20759,adventures,2.0
20760,adventurous,2.0
20761,affected,-1.0
20762,affection,3.0
20763,affectionate,3.0
20764,afflicted,-1.0
20765,affronted,-1.0
20766,afraid,-2.0
20767,aggravate,-2.0
20768,aggravated,-2.0
20769,aggravates,-2.0
20770,aggravating,-2.0
20771,aggression,-2.0
20772,aggressions,-2.0
20773,aggressive,-2.0
20774,aghast,-2.0
20775,agog,2.0
20776,agonise,-3.0
20777,agonised,-3.0
20778,agonises,-3.0
20779,agonising,-3.0
20780,agonize,-3.0
20781,agonized,-3.0
20782,agonizes,-3.0
20783,agonizing,-3.0
20784,agree,1.0
20785,agreeable,2.0
20786,agreed,1.0
20787,agreement,1.0
20788,agrees,1.0
20789,alarm,-2.0
20790,alarmed,-2.0
20791,alarmist,-2.0
20792,alarmists,-2.0
20793,alas,-1.0
20794,alert,-1.0
20795,alienation,-2.0
20796,alive,1.0
20797,allergic,-2.0
20798,allow,1.0
20799,alone,-2.0
20800,amaze,2.0
20801,amazed,2.0
20802,amazes,2.0
20803,amazing,4.0
20804,ambitious,2.0
20805,ambivalent,-1.0
20806,amuse,3.0
20807,amused,3.0
20808,amusement,3.0
20809,amusements,3.0
20810,anger,-3.0
20811,angers,-3.0
20812,angry,-3.0
20813,anguish,-3.0
20814,anguished,-3.0
20815,animosity,-2.0
20816,annoy,-2.0
20817,annoyance,-2.0
20818,annoyed,-2.0
20819,annoying,-2.0
20820,annoys,-2.0
20821,antagonistic,-2.0
20822,anti,-1.0
20823,anticipation,1.0
20824,anxiety,-2.0
20825,anxious,-2.0
20826,apathetic,-3.0
20827,apathy,-3.0
20828,apeshit,-3.0
20829,apocalyptic,-2.0
20830,apologise,-1.0
20831,apologised,-1.0
20832,apologises,-1.0
20833,apologising,-1.0
20834,apologize,-1.0
20835,apologized,-1.0
20836,apologizes,-1.0
20837,apologizing,-1.0
20838,apology,-1.0
20839,appalled,-2.0
20840,appalling,-2.0
20841,appease,2.0
20842,appeased,2.0
20843,appeases,2.0
20844,appeasing,2.0
20845,applaud,2.0
20846,applauded,2.0
20847,applauding,2.0
20848,applauds,2.0
20849,applause,2.0
20850,appreciate,2.0
20851,appreciated,2.0
20852,appreciates,2.0
20853,appreciating,2.0
20854,appreciation,2.0
20855,apprehensive,-2.0
20856,approval,2.0
20857,approved,2.0
20858,approves,2.0
20859,ardent,1.0
20860,arrest,-2.0
20861,arrested,-3.0
20862,arrests,-2.0
20863,arrogant,-2.0
20864,ashame,-2.0
20865,ashamed,-2.0
20866,ass,-4.0
20867,assassination,-3.0
20868,assassinations,-3.0
20869,asset,2.0
20870,assets,2.0
20871,assfucking,-4.0
20872,asshole,-4.0
20873,astonished,2.0
20874,astound,3.0
20875,astounded,3.0
20876,astounding,3.0
20877,astoundingly,3.0
20878,astounds,3.0
20879,attack,-1.0
20880,attacked,-1.0
20881,attacking,-1.0
20882,attacks,-1.0
20883,attract,1.0
20884,attracted,1.0
20885,attracting,2.0
20886,attraction,2.0
20887,attractions,2.0
20888,attracts,1.0
20889,audacious,3.0
20890,authority,1.0
20891,avert,-1.0
20892,averted,-1.0
20893,averts,-1.0
20894,avid,2.0
20895,avoid,-1.0
20896,avoided,-1.0
20897,avoids,-1.0
20898,await,-1.0
20899,awaited,-1.0
20900,awaits,-1.0
20901,award,3.0
20902,awarded,3.0
20903,awards,3.0
20904,awesome,4.0
20905,awful,-3.0
20906,awkward,-2.0
20907,axe,-1.0
20908,axed,-1.0
20909,backed,1.0
20910,backing,2.0
20911,backs,1.0
20912,bad,-3.0
20913,badass,-3.0
20914,badly,-3.0
20915,bailout,-2.0
20916,bamboozle,-2.0
20917,bamboozled,-2.0
20918,bamboozles,-2.0
20919,ban,-2.0
20920,banish,-1.0
20921,bankrupt,-3.0
20922,bankster,-3.0
20923,banned,-2.0
20924,bargain,2.0
20925,barrier,-2.0
20926,bastard,-5.0
20927,bastards,-5.0
20928,battle,-1.0
20929,battles,-1.0
20930,beaten,-2.0
20931,beatific,3.0
20932,beating,-1.0
20933,beauties,3.0
20934,beautiful,3.0
20935,beautifully,3.0
20936,beautify,3.0
20937,belittle,-2.0
20938,belittled,-2.0
20939,beloved,3.0
20940,benefit,2.0
20941,benefits,2.0
20942,benefitted,2.0
20943,benefitting,2.0
20944,bereave,-2.0
20945,bereaved,-2.0
20946,bereaves,-2.0
20947,bereaving,-2.0
20948,best,3.0
20949,betray,-3.0
20950,betrayal,-3.0
20951,betrayed,-3.0
20952,betraying,-3.0
20953,betrays,-3.0
20954,better,2.0
20955,bias,-1.0
20956,biased,-2.0
20957,big,1.0
20958,bitch,-5.0
20959,bitches,-5.0
20960,bitter,-2.0
20961,bitterly,-2.0
20962,bizarre,-2.0
20963,blah,-2.0
20964,blame,-2.0
20965,blamed,-2.0
20966,blames,-2.0
20967,blaming,-2.0
20968,bless,2.0
20969,blesses,2.0
20970,blessing,3.0
20971,blind,-1.0
20972,bliss,3.0
20973,blissful,3.0
20974,blithe,2.0
20975,block,-1.0
20976,blockbuster,3.0
20977,blocked,-1.0
20978,blocking,-1.0
20979,blocks,-1.0
20980,bloody,-3.0
20981,blurry,-2.0
20982,boastful,-2.0
20983,bold,2.0
20984,boldly,2.0
20985,bomb,-1.0
20986,boost,1.0
20987,boosted,1.0
20988,boosting,1.0
20989,boosts,1.0
20990,bore,-2.0
20991,bored,-2.0
20992,boring,-3.0
20993,bother,-2.0
20994,bothered,-2.0
20995,bothers,-2.0
20996,bothersome,-2.0
20997,boycott,-2.0
20998,boycotted,-2.0
20999,boycotting,-2.0
21000,boycotts,-2.0
21001,brainwashing,-3.0
21002,brave,2.0
21003,breakthrough,3.0
21004,breathtaking,5.0
21005,bribe,-3.0
21006,bright,1.0
21007,brightest,2.0
21008,brightness,1.0
21009,brilliant,4.0
21010,brisk,2.0
21011,broke,-1.0
21012,broken,-1.0
21013,brooding,-2.0
21014,bullied,-2.0
21015,bullshit,-4.0
21016,bully,-2.0
21017,bullying,-2.0
21018,bummer,-2.0
21019,buoyant,2.0
21020,burden,-2.0
21021,burdened,-2.0
21022,burdening,-2.0
21023,burdens,-2.0
21024,calm,2.0
21025,calmed,2.0
21026,calming,2.0
21027,calms,2.0
21028,can't stand,-3.0
21029,cancel,-1.0
21030,cancelled,-1.0
21031,cancelling,-1.0
21032,cancels,-1.0
21033,cancer,-1.0
21034,capable,1.0
21035,captivated,3.0
21036,care,2.0
21037,carefree,1.0
21038,careful,2.0
21039,carefully,2.0
21040,careless,-2.0
21041,cares,2.0
21042,cashing in,-2.0
21043,casualty,-2.0
21044,catastrophe,-3.0
