,word,sentiment
13901,2-faced,negative
13902,2-faces,negative
13903,a+,positive
13904,abnormal,negative
13905,abolish,negative
13906,abominable,negative
13907,abominably,negative
13908,abominate,negative
13909,abomination,negative
13910,abort,negative
13911,aborted,negative
13912,aborts,negative
13913,abound,positive
13914,abounds,positive
13915,abrade,negative
13916,abrasive,negative
13917,abrupt,negative
13918,abruptly,negative
13919,abscond,negative
13920,absence,negative
13921,absent-minded,negative
13922,absentee,negative
13923,absurd,negative
13924,absurdity,negative
13925,absurdly,negative
13926,absurdness,negative
13927,abundance,positive
13928,abundant,positive
13929,abuse,negative
13930,abused,negative
13931,abuses,negative
13932,abusive,negative
13933,abysmal,negative
13934,abysmally,negative
13935,abyss,negative
13936,accessable,positive
13937,accessible,positive
13938,accidental,negative
13939,acclaim,positive
13940,acclaimed,positive
13941,acclamation,positive
13942,accolade,positive
13943,accolades,positive
13944,accommodative,positive
13945,accomodative,positive
13946,accomplish,positive
13947,accomplished,positive
13948,accomplishment,positive
13949,accomplishments,positive
13950,accost,negative
13951,accurate,positive
13952,accurately,positive
13953,accursed,negative
13954,accusation,negative
13955,accusations,negative
13956,accuse,negative
13957,accuses,negative
13958,accusing,negative
13959,accusingly,negative
13960,acerbate,negative
13961,acerbic,negative
13962,acerbically,negative
13963,ache,negative
13964,ached,negative
13965,aches,negative
13966,achey,negative
13967,achievable,positive
13968,achievement,positive
13969,achievements,positive
13970,achievible,positive
13971,aching,negative
13972,acrid,negative
13973,acridly,negative
13974,acridness,negative
13975,acrimonious,negative
13976,acrimoniously,negative
13977,acrimony,negative
13978,acumen,positive
13979,adamant,negative
13980,adamantly,negative
13981,adaptable,positive
13982,adaptive,positive
13983,addict,negative
13984,addicted,negative
13985,addicting,negative
13986,addicts,negative
13987,adequate,positive
13988,adjustable,positive
13989,admirable,positive
13990,admirably,positive
13991,admiration,positive
13992,admire,positive
13993,admirer,positive
13994,admiring,positive
13995,admiringly,positive
13996,admonish,negative
13997,admonisher,negative
13998,admonishingly,negative
13999,admonishment,negative
14000,admonition,negative
14001,adorable,positive
14002,adore,positive
14003,adored,positive
14004,adorer,positive
14005,adoring,positive
14006,adoringly,positive
14007,adroit,positive
14008,adroitly,positive
14009,adulate,positive
14010,adulation,positive
14011,adulatory,positive
14012,adulterate,negative
14013,adulterated,negative
14014,adulteration,negative
14015,adulterier,negative
14016,advanced,positive
14017,advantage,positive
14018,advantageous,positive
14019,advantageously,positive
14020,advantages,positive
14021,adventuresome,positive
14022,adventurous,positive
14023,adversarial,negative
14024,adversary,negative
14025,adverse,negative
14026,adversity,negative
14027,advocate,positive
14028,advocated,positive
14029,advocates,positive
14030,affability,positive
14031,affable,positive
14032,affably,positive
14033,affectation,positive
14034,affection,positive
14035,affectionate,positive
14036,affinity,positive
14037,affirm,positive
14038,affirmation,positive
14039,affirmative,positive
14040,afflict,negative
14041,affliction,negative
14042,afflictive,negative
14043,affluence,positive
14044,affluent,positive
14045,afford,positive
14046,affordable,positive
14047,affordably,positive
14048,affront,negative
14049,afordable,positive
14050,afraid,negative
14051,aggravate,negative
14052,aggravating,negative
14053,aggravation,negative
14054,aggression,negative
14055,aggressive,negative
14056,aggressiveness,negative
14057,aggressor,negative
14058,aggrieve,negative
14059,aggrieved,negative
14060,aggrivation,negative
14061,aghast,negative
14062,agile,positive
14063,agilely,positive
14064,agility,positive
14065,agonies,negative
14066,agonize,negative
14067,agonizing,negative
14068,agonizingly,negative
14069,agony,negative
14070,agreeable,positive
14071,agreeableness,positive
14072,agreeably,positive
14073,aground,negative
14074,ail,negative
14075,ailing,negative
14076,ailment,negative
14077,aimless,negative
14078,alarm,negative
14079,alarmed,negative
14080,alarming,negative
14081,alarmingly,negative
14082,alienate,negative
14083,alienated,negative
14084,alienation,negative
14085,all-around,positive
14086,allegation,negative
14087,allegations,negative
14088,allege,negative
14089,allergic,negative
14090,allergies,negative
14091,allergy,negative
14092,alluring,positive
14093,alluringly,positive
14094,aloof,negative
14095,altercation,negative
14096,altruistic,positive
14097,altruistically,positive
14098,amaze,positive
14099,amazed,positive
14100,amazement,positive
14101,amazes,positive
14102,amazing,positive
14103,amazingly,positive
14104,ambiguity,negative
14105,ambiguous,negative
14106,ambitious,positive
14107,ambitiously,positive
14108,ambivalence,negative
14109,ambivalent,negative
14110,ambush,negative
14111,ameliorate,positive
14112,amenable,positive
14113,amenity,positive
14114,amiability,positive
14115,amiabily,positive
14116,amiable,positive
14117,amicability,positive
14118,amicable,positive
14119,amicably,positive
14120,amiss,negative
14121,amity,positive
14122,ample,positive
14123,amply,positive
14124,amputate,negative
14125,amuse,positive
14126,amusing,positive
14127,amusingly,positive
14128,anarchism,negative
14129,anarchist,negative
14130,anarchistic,negative
14131,anarchy,negative
14132,anemic,negative
14133,angel,positive
14134,angelic,positive
14135,anger,negative
14136,angrily,negative
14137,angriness,negative
14138,angry,negative
14139,anguish,negative
14140,animosity,negative
14141,annihilate,negative
14142,annihilation,negative
14143,annoy,negative
14144,annoyance,negative
14145,annoyances,negative
14146,annoyed,negative
14147,annoying,negative
14148,annoyingly,negative
14149,annoys,negative
14150,anomalous,negative
14151,anomaly,negative
14152,antagonism,negative
14153,antagonist,negative
14154,antagonistic,negative
14155,antagonize,negative
14156,anti-,negative
14157,anti-american,negative
14158,anti-israeli,negative
14159,anti-occupation,negative
14160,anti-proliferation,negative
14161,anti-semites,negative
14162,anti-social,negative
14163,anti-us,negative
14164,anti-white,negative
14165,antipathy,negative
14166,antiquated,negative
14167,antithetical,negative
14168,anxieties,negative
14169,anxiety,negative
14170,anxious,negative
14171,anxiously,negative
14172,anxiousness,negative
14173,apathetic,negative
14174,apathetically,negative
14175,apathy,negative
14176,apocalypse,negative
14177,apocalyptic,negative
14178,apologist,negative
14179,apologists,negative
14180,apotheosis,positive
14181,appal,negative
14182,appall,negative
14183,appalled,negative
14184,appalling,negative
14185,appallingly,negative
14186,appeal,positive
14187,appealing,positive
14188,applaud,positive
14189,appreciable,positive
14190,appreciate,positive
14191,appreciated,positive
14192,appreciates,positive
14193,appreciative,positive
14194,appreciatively,positive
14195,apprehension,negative
14196,apprehensions,negative
14197,apprehensive,negative
14198,apprehensively,negative
14199,appropriate,positive
14200,approval,positive
14201,approve,positive
14202,arbitrary,negative
14203,arcane,negative
14204,archaic,negative
14205,ardent,positive
14206,ardently,positive
14207,ardor,positive
14208,arduous,negative
14209,arduously,negative
14210,argumentative,negative
14211,arrogance,negative
14212,arrogant,negative
14213,arrogantly,negative
14214,articulate,positive
14215,ashamed,negative
14216,asinine,negative
14217,asininely,negative
14218,asinininity,negative
14219,askance,negative
14220,asperse,negative
14221,aspersion,negative
14222,aspersions,negative
14223,aspiration,positive
14224,aspirations,positive
14225,aspire,positive
14226,assail,negative
14227,assassin,negative
14228,assassinate,negative
14229,assault,negative
14230,assult,negative
14231,assurance,positive
14232,assurances,positive
14233,assure,positive
14234,assuredly,positive
14235,assuring,positive
14236,astonish,positive
14237,astonished,positive
14238,astonishing,positive
14239,astonishingly,positive
14240,astonishment,positive
14241,astound,positive
14242,astounded,positive
14243,astounding,positive
14244,astoundingly,positive
14245,astray,negative
14246,astutely,positive
14247,asunder,negative
14248,atrocious,negative
14249,atrocities,negative
14250,atrocity,negative
14251,atrophy,negative
14252,attack,negative
14253,attacks,negative
14254,attentive,positive
14255,attraction,positive
14256,attractive,positive
14257,attractively,positive
14258,attune,positive
14259,audacious,negative
14260,audaciously,negative
14261,audaciousness,negative
14262,audacity,negative
14263,audible,positive
14264,audibly,positive
14265,audiciously,negative
14266,auspicious,positive
14267,austere,negative
14268,authentic,positive
14269,authoritarian,negative
14270,authoritative,positive
14271,autocrat,negative
14272,autocratic,negative
14273,autonomous,positive
14274,available,positive
14275,avalanche,negative
14276,avarice,negative
14277,avaricious,negative
14278,avariciously,negative
14279,avenge,negative
14280,aver,positive
14281,averse,negative
14282,aversion,negative
14283,avid,positive
14284,avidly,positive
14285,award,positive
14286,awarded,positive
14287,awards,positive
14288,awe,positive
14289,awed,positive
14290,aweful,negative
14291,awesome,positive
14292,awesomely,positive
14293,awesomeness,positive
14294,awestruck,positive
14295,awful,negative
14296,awfully,negative
14297,awfulness,negative
14298,awkward,negative
14299,awkwardness,negative
14300,awsome,positive
14301,ax,negative
14302,babble,negative
14303,back-logged,negative
14304,back-wood,negative
14305,back-woods,negative
14306,backache,negative
14307,backaches,negative
14308,backaching,negative
14309,backbite,negative
14310,backbiting,negative
14311,backbone,positive
14312,backward,negative
14313,backwardness,negative
14314,backwood,negative
14315,backwoods,negative
14316,bad,negative
14317,badly,negative
14318,baffle,negative
14319,baffled,negative
14320,bafflement,negative
14321,baffling,negative
14322,bait,negative
14323,balanced,positive
14324,balk,negative
14325,banal,negative
14326,banalize,negative
14327,bane,negative
14328,banish,negative
14329,banishment,negative
14330,bankrupt,negative
14331,barbarian,negative
14332,barbaric,negative
14333,barbarically,negative
14334,barbarity,negative
14335,barbarous,negative
14336,barbarously,negative
14337,bargain,positive
14338,barren,negative
14339,baseless,negative
14340,bash,negative
14341,bashed,negative
14342,bashful,negative
14343,bashing,negative
14344,bastard,negative
14345,bastards,negative
14346,battered,negative
14347,battering,negative
14348,batty,negative
14349,bearish,negative
14350,beastly,negative
14351,beauteous,positive
14352,beautiful,positive
14353,beautifullly,positive
14354,beautifully,positive
14355,beautify,positive
14356,beauty,positive
14357,beckon,positive
14358,beckoned,positive
14359,beckoning,positive
14360,beckons,positive
14361,bedlam,negative
14362,bedlamite,negative
14363,befoul,negative
14364,beg,negative
14365,beggar,negative
14366,beggarly,negative
14367,begging,negative
14368,beguile,negative
14369,belabor,negative
14370,belated,negative
14371,beleaguer,negative
14372,belie,negative
14373,believable,positive
14374,believeable,positive
14375,belittle,negative
14376,belittled,negative
14377,belittling,negative
14378,bellicose,negative
14379,belligerence,negative
14380,belligerent,negative
14381,belligerently,negative
14382,beloved,positive
14383,bemoan,negative
14384,bemoaning,negative
14385,bemused,negative
14386,benefactor,positive
14387,beneficent,positive
14388,beneficial,positive
14389,beneficially,positive
14390,beneficiary,positive
14391,benefit,positive
14392,benefits,positive
14393,benevolence,positive
14394,benevolent,positive
14395,benifits,positive
14396,bent,negative
14397,berate,negative
14398,bereave,negative
14399,bereavement,negative
14400,bereft,negative
14401,berserk,negative
14402,beseech,negative
14403,beset,negative
14404,besiege,negative
14405,besmirch,negative
14406,best,positive
14407,best-known,positive
14408,best-performing,positive
14409,best-selling,positive
14410,bestial,negative
14411,betray,negative
14412,betrayal,negative
14413,betrayals,negative
14414,betrayer,negative
14415,betraying,negative
14416,betrays,negative
14417,better,positive
14418,better-known,positive
14419,better-than-expected,positive
14420,beutifully,positive
14421,bewail,negative
14422,beware,negative
14423,bewilder,negative
14424,bewildered,negative
14425,bewildering,negative
14426,bewilderingly,negative
14427,bewilderment,negative
14428,bewitch,negative
14429,bias,negative
14430,biased,negative
14431,biases,negative
14432,bicker,negative
14433,bickering,negative
14434,bid-rigging,negative
14435,bigotries,negative
14436,bigotry,negative
14437,bitch,negative
14438,bitchy,negative
14439,biting,negative
14440,bitingly,negative
14441,bitter,negative
14442,bitterly,negative
14443,bitterness,negative
14444,bizarre,negative
14445,blab,negative
14446,blabber,negative
14447,blackmail,negative
14448,blah,negative
14449,blame,negative
14450,blameless,positive
14451,blameworthy,negative
14452,bland,negative
14453,blandish,negative
14454,blaspheme,negative
14455,blasphemous,negative
14456,blasphemy,negative
14457,blasted,negative
14458,blatant,negative
14459,blatantly,negative
14460,blather,negative
14461,bleak,negative
14462,bleakly,negative
14463,bleakness,negative
14464,bleed,negative
14465,bleeding,negative
14466,bleeds,negative
14467,blemish,negative
14468,bless,positive
14469,blessing,positive
14470,blind,negative
14471,blinding,negative
14472,blindingly,negative
14473,blindside,negative
14474,bliss,positive
14475,blissful,positive
14476,blissfully,positive
14477,blister,negative
14478,blistering,negative
14479,blithe,positive
14480,bloated,negative
14481,blockage,negative
14482,blockbuster,positive
14483,blockhead,negative
14484,bloodshed,negative
14485,bloodthirsty,negative
14486,bloody,negative
14487,bloom,positive
14488,blossom,positive
14489,blotchy,negative
14490,blow,negative
14491,blunder,negative
14492,blundering,negative
14493,blunders,negative
14494,blunt,negative
14495,blur,negative
14496,bluring,negative
14497,blurred,negative
14498,blurring,negative
14499,blurry,negative
14500,blurs,negative
14501,blurt,negative
14502,boastful,negative
14503,boggle,negative
14504,bogus,negative
14505,boil,negative
14506,boiling,negative
14507,boisterous,negative
14508,bolster,positive
14509,bomb,negative
14510,bombard,negative
14511,bombardment,negative
14512,bombastic,negative
14513,bondage,negative
14514,bonkers,negative
14515,bonny,positive
14516,bonus,positive
14517,bonuses,positive
14518,boom,positive
14519,booming,positive
14520,boost,positive
14521,bore,negative
14522,bored,negative
14523,boredom,negative
14524,bores,negative
14525,boring,negative
14526,botch,negative
14527,bother,negative
14528,bothered,negative
14529,bothering,negative
14530,bothers,negative
14531,bothersome,negative
14532,boundless,positive
14533,bountiful,positive
14534,bowdlerize,negative
14535,boycott,negative
14536,braggart,negative
14537,bragger,negative
14538,brainiest,positive
14539,brainless,negative
14540,brainwash,negative
14541,brainy,positive
14542,brand-new,positive
14543,brash,negative
14544,brashly,negative
14545,brashness,negative
14546,brat,negative
14547,bravado,negative
14548,brave,positive
14549,bravery,positive
14550,bravo,positive
14551,brazen,negative
14552,brazenly,negative
14553,brazenness,negative
14554,breach,negative
14555,break,negative
14556,break-up,negative
14557,break-ups,negative
14558,breakdown,negative
14559,breaking,negative
14560,breaks,negative
14561,breakthrough,positive
14562,breakthroughs,positive
14563,breakup,negative
14564,breakups,negative
14565,breathlessness,positive
14566,breathtaking,positive
